address,station_id,latitude,longitude,name,rf_mae,rf_mse,rf_rmse,rf_r2,rf_accuracy,15m_mae,15m_mse,15m_rmse,15m_r2,30m_mae,30m_mse,30m_rmse,30m_r2,45m_mae,45m_mse,45m_rmse,45m_r2,60m_mae,60m_mse,60m_rmse,60m_r2,90m_mae,90m_mse,90m_rmse,90m_r2,120m_mae,120m_mse,120m_rmse,120m_r2
Townsend Street,22,53.345921,-6.254614,TOWNSEND STREET,0.420319992,1.167408748,1.080466912,0.958181262,0.7372541340000001,0.5952962297136416,0.9817646643120832,0.9908403828629934,0.9230537421243638,0.9513189578458074,2.1046889464099428,1.4507546127481183,0.8350324655669944,1.177348893497436,3.1376497858956007,1.7713412392578685,0.7540491384036168,1.3591615193213598,4.1324004249623325,2.0328306434531958,0.6760466414716475,1.6762011535999044,6.228225937991631,2.495641388098785,0.5116562205493396,1.9657040933304408,8.159715381303913,2.856521552746261,0.3600744385950102
Custom House,23,53.348278,-6.2546620000000015,CUSTOM HOUSE,0.599888081,2.879832607,1.6970069559999998,0.947741253,0.697793241,0.8343651180413852,2.81686691213138,1.6783524397847371,0.9393606134304076,1.392214599807293,6.137152559388894,2.47732770528828,0.8673301537455367,1.8243451772423585,9.29407044791127,3.0486177930188743,0.7982325166159263,2.1985870360770963,12.07366936527563,3.474718602315248,0.7367624306568064,2.9676969552307058,18.677165830076014,4.3217086701993255,0.5892114502990435,3.6108983267234,25.153377580904003,5.015314305295732,0.441785359926669
Cathal Brugha Street,24,53.35215,-6.2605330000000015,CATHAL BRUGHA STREET,0.635145726,1.891721773,1.375398769,0.944793621,0.629953466,1.0193518626926703,2.5288980226264752,1.5902509307107715,0.9229885734402182,1.5171644898162036,4.736588291274464,2.17637043980901,0.8560092396052104,1.895982284101873,6.917352436256169,2.6300860130908585,0.7900805336235001,2.1733675392304517,8.671907332604002,2.9448102371127414,0.7372940301219966,2.6279021915576983,11.747968295253575,3.4275309327931054,0.6453506967822187,2.9604291383570533,13.964449639805801,3.7369037504069866,0.5799162623027874
Merrion Square East,25,53.339436,-6.2465480000000015,MERRION SQUARE EAST,0.295040208,0.847410219,0.920548868,0.976939535,0.812322062,0.3765004507474089,0.5509718750175833,0.7422747975093748,0.9762032371660057,0.6391115837578417,1.2226819917352223,1.105749515819574,0.9472791317576896,0.8711512728471325,2.0673487422425727,1.4378277860170086,0.9110057021241872,1.0834284199016124,3.0200793806511115,1.737837558764084,0.8702088733522033,1.434813297945413,5.093138019047969,2.256798178625632,0.7818451292364179,1.7753178050077605,7.411952696058637,2.72249016454764,0.6835827737081677
Merrion Square West,26,53.339764,-6.251988,MERRION SQUARE WEST,0.283892289,0.73627907,0.858067054,0.975289158,0.8125826190000001,0.5038556280777439,1.1212817243484945,1.0589059091101978,0.9632148926064076,0.85016962931353,2.3100252658704963,1.5198767271954974,0.9240212369271243,1.123376707508867,3.452357470208937,1.8580520633741504,0.8861526725296753,1.3608713344780528,4.601799415306574,2.1451805087932745,0.8478472044145042,1.786453602888169,7.029537335519461,2.651327466670132,0.7663257657950033,2.1246113944840768,9.329489620500253,3.0544213233442847,0.6881609851188326
Molesworth Street,27,53.34129,-6.258117,MOLESWORTH STREET,0.418384061,1.18860775,1.090232888,0.968491709,0.747488082,0.7306382719427424,1.781720529418874,1.3348110463353509,0.9575551458295212,1.2092050296722496,3.9098857962911935,1.9773431154686316,0.9067850243256664,1.6035603767664082,6.155802521748352,2.4810889790066684,0.8531250555078517,1.9553865089824607,8.636082857293681,2.938721296294305,0.7937819980196408,2.6096160125414185,14.517723773782365,3.8102130877133846,0.6527694104516979,3.171850163295893,21.452639135307262,4.631699378770956,0.4860370008655462
Mountjoy Square West,28,53.3563,-6.258586,MOUNTJOY SQUARE WEST,0.5650778089999999,2.570763387,1.60336003,0.953572244,0.7043009440000001,0.8085859385061922,3.0134825458442016,1.7359385201798485,0.9431366758915208,1.372225542433826,6.526733137970783,2.5547471769180574,0.8769574455689352,1.858868664672416,10.157089457958657,3.1870188982744763,0.8086956362943855,2.2782854554187275,13.539988815175445,3.6796723787825787,0.7452171314703011,2.9868190120754616,20.192372127246767,4.493592341017014,0.6207439449612937,3.6059665796316582,26.49867494647034,5.147686368308617,0.5032207144553065
Ormond Quay Upper,29,53.346058,-6.268001,ORMOND QUAY UPPER,0.6771308140000001,3.231755134,1.797708301,0.944679205,0.663088761,0.9838669570456092,3.84192130532293,1.9600819639298075,0.9470402114842091,1.5611652719978095,8.47855867952222,2.9117964694535603,0.8831936777615245,2.044070864094813,12.843591114886632,3.583795629620449,0.8231608763210918,2.415594479656571,16.766328235921097,4.094670711537265,0.7692836122110467,3.0210620489891533,23.75580515444149,4.873992732292641,0.6734794082943899,3.590164973988422,30.16564663255223,5.492326158610051,0.5858496036367123
Parnell Square North,30,53.353462,-6.2653050000000015,PARNELL SQUARE NORTH,0.250055623,0.678920175,0.823966125,0.943203238,0.8343180640000001,0.4744470607110986,1.2419135924550229,1.1144117697040994,0.9424984124333524,0.7447058302951003,2.45707035217575,1.5675044982952204,0.8863658972427484,0.97668920841924,3.454140763979092,1.858531884036185,0.8404365170539312,1.157519189030053,4.459331283476764,2.1117128790336923,0.7942379235895056,1.456630503750455,6.18937089865106,2.487844629121976,0.7150651442137935,1.6864962809764754,7.801415413665055,2.793101396953761,0.6416767917388306
Parnell Street,31,53.350929,-6.265125,PARNELL STREET,0.712884063,2.137337488,1.461963573,0.935907251,0.6028144320000001,0.9823732573498598,2.569218490800311,1.602878189632734,0.9376854978158984,1.4541837369675368,5.437175348320874,2.3317751496061696,0.8682822532260459,1.8442544307790532,8.373503709468075,2.89370069452044,0.7973900912249563,2.1896065169172494,11.28671360676951,3.359570449740489,0.727225902033432,2.695606175505926,15.523109126757555,3.939937705948859,0.6257363889444476,2.968775361966736,17.754074593619578,4.21355842413744,0.5729695790410596
